tag,step,wall_time,value,event_file
Episode_Reward/action_rate_l2,92137,1788217695.8340898,-0.004361176397651434,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92138,1788217696.4700735,-0.0037482096813619137,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92139,1788217697.0970476,-0.0036029403563588858,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92140,1788217697.7422452,-0.005023550242185593,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92141,1788217698.3896098,-0.006896998733282089,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92142,1788217699.014202,-0.003939177840948105,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92143,1788217699.660406,-0.006019957363605499,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92144,1788217700.2916667,-0.003726358525454998,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92145,1788217700.9211984,-0.006728547625243664,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92146,1788217701.596046,-0.0060105277225375175,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92147,1788217702.2361665,-0.0042108204215765,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92148,1788217702.8661377,-0.006406733300536871,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92149,1788217703.5034077,-0.00555100291967392,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92150,1788217704.1570346,-0.0071327961049973965,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92151,1788217704.8140397,-0.0033778254874050617,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92152,1788217705.447191,-0.005097422283142805,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92153,1788217706.0841184,-0.0037450322415679693,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92154,1788217706.7242975,-0.006278756074607372,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92155,1788217707.3407543,-0.0029613717924803495,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92156,1788217707.9788878,-0.00373904500156641,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92157,1788217708.6139271,-0.0036595563869923353,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92158,1788217709.2485435,-0.006339506711810827,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92159,1788217709.8940814,-0.004305552691221237,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92160,1788217710.51482,-0.0038109850138425827,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92161,1788217711.1627276,-0.003590662032365799,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92162,1788217711.803356,-0.0036531751975417137,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92163,1788217712.4570358,-0.0043401471339166164,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92164,1788217713.1166987,-0.0059006474912166595,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92165,1788217713.7490299,-0.0032387932296842337,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92166,1788217714.382539,-0.008696063421666622,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92167,1788217715.0066986,-0.010830934159457684,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92168,1788217715.6304624,-0.0037198024801909924,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92169,1788217716.2727985,-0.006103210151195526,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92170,1788217716.9118824,-0.006396984215825796,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92171,1788217717.5706728,-0.007562588434666395,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92172,1788217718.2018404,-0.007402735762298107,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92173,1788217718.8421392,-0.006936223711818457,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92174,1788217719.5165691,-0.0038057267665863037,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92175,1788217720.1503427,-0.004866662435233593,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92176,1788217720.7988586,-0.004752716049551964,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92177,1788217721.4295974,-0.0032925871200859547,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_rate_l2,92178,1788217722.0647414,-0.003289454150944948,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92099,1788217671.3020687,-0.0009536668658256531,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92100,1788217672.1014264,-0.003485707566142082,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92101,1788217672.7392092,-0.0040951939299702644,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92102,1788217673.5828872,-0.007574630435556173,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92103,1788217674.2389598,-0.0080155860632658,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92104,1788217674.869373,-0.004027982708066702,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92105,1788217675.4954805,-0.004713102709501982,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92106,1788217676.1081471,-0.005915985442698002,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92107,1788217676.7491727,-0.005886392202228308,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92108,1788217677.3522713,-0.004161244258284569,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92109,1788217677.9554367,-0.005145964212715626,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92110,1788217678.6175787,-0.006732421927154064,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92111,1788217679.266302,-0.006121530197560787,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92112,1788217679.878694,-0.0058163790963590145,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92113,1788217680.504233,-0.006627526134252548,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92114,1788217681.1625977,-0.005503146909177303,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92115,1788217681.813925,-0.005582880228757858,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92116,1788217682.4355488,-0.007649630308151245,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92117,1788217683.0814927,-0.006158929318189621,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92118,1788217683.7266538,-0.005914354231208563,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92119,1788217684.3667707,-0.007135774940252304,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92120,1788217684.9817424,-0.006676791235804558,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92121,1788217685.6245055,-0.00581840006634593,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92122,1788217686.2957926,-0.006473017856478691,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92123,1788217686.9278362,-0.005740273743867874,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92124,1788217687.5493279,-0.00636265380308032,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92125,1788217688.1827984,-0.008874818682670593,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
