body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_pos_21,joint_pos_22,joint_pos_23,joint_pos_24,joint_pos_25,joint_pos_26,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26
-0.000398,-0.000268,0.925021,0.999679,0.000167,0.025323,-0.000016,0.019464,-0.044787,-0.461463,0.838694,-0.428728,-0.017482,-0.015872,0.040384,-0.438972,0.834580,-0.446852,0.013464,0.000000,0.125412,-0.001179,-0.000663,-0.380571,0.000085,-0.000355,0.000632,0.124522,0.002625,0.000625,-0.386448,-0.000084,0.000347,0.000653,0.002217,-0.000076,-0.004699,0.003161,0.001580,-0.002281,0.002005,-0.000061,-0.005063,0.003964,0.001334,-0.002075,0.000000,-0.000682,-0.000968,-0.000058,-0.002208,0.000001,-0.000024,-0.000001,0.000481,-0.000457,-0.000107,0.001242,0.000001,-0.000020,-0.000001
-0.000435,-0.000299,0.925014,0.999679,0.000169,0.025323,-0.000014,0.019508,-0.044789,-0.461562,0.838759,-0.428694,-0.017528,-0.015833,0.040383,-0.439080,0.834665,-0.446825,0.013426,0.000000,0.125397,-0.001200,-0.000665,-0.380617,0.000085,-0.000356,0.000632,0.124531,0.002615,0.000623,-0.386422,-0.000084,0.000347,0.000653,0.001934,-0.000103,-0.004634,0.002758,0.001753,-0.002153,0.001704,-0.000081,-0.005143,0.003834,0.001375,-0.002024,0.000000,-0.000676,-0.001057,-0.000078,-0.002194,0.000002,-0.000036,0.000002,0.000426,-0.000550,-0.000127,0.001217,0.000001,-0.000030,-0.000005
-0.000468,-0.000327,0.925009,0.999679,0.000173,0.025324,-0.000012,0.019542,-0.044791,-0.461649,0.838804,-0.428658,-0.017568,-0.015804,0.040381,-0.439178,0.834733,-0.446797,0.013383,0.000000,0.125384,-0.001221,-0.000666,-0.380659,0.000085,-0.000356,0.000632,0.124539,0.002603,0.000620,-0.386399,-0.000084,0.000346,0.000653,0.001535,-0.000085,-0.003976,0.001840,0.001812,-0.001828,0.001334,-0.000078,-0.004489,0.002918,0.001448,-0.002046,0.000000,-0.000603,-0.000974,-0.000070,-0.001963,0.000001,-0.000030,-0.000001,0.000341,-0.000519,-0.000110,0.001077,0.000001,-0.000025,-0.000000
-0.000496,-0.000352,0.925006,0.999679,0.000177,0.025327,-0.000010,0.019570,-0.044793,-0.461721,0.838832,-0.428621,-0.017602,-0.015779,0.040379,-0.439260,0.834782,-0.446767,0.013344,0.000000,0.125373,-0.001239,-0.000667,-0.380696,0.000085,-0.000357,0.000632,0.124545,0.002594,0.000618,-0.386379,-0.000084,0.000346,0.000653,0.001189,-0.000226,-0.003538,0.000988,0.002152,-0.001792,0.001010,-0.000262,-0.004203,0.002401,0.001589,-0.001781,0.000000,-0.000571,-0.001007,-0.000078,-0.001913,0.000003,-0.000037,0.000010,0.000340,-0.000558,-0.000119,0.001066,0.000002,-0.000033,0.000001
-0.000526,-0.000375,0.925004,0.999679,0.000185,0.025330,-0.000005,0.019589,-0.044800,-0.461790,0.838844,-0.428571,-0.017640,-0.015764,0.040371,-0.439346,0.834829,-0.446733,0.013312,0.000000,0.125362,-0.001262,-0.000669,-0.380735,0.000085,-0.000358,0.000632,0.124552,0.002581,0.000615,-0.386357,-0.000084,0.000345,0.000653,0.000596,-0.000454,-0.002875,-0.000174,0.002756,-0.001552,0.000397,-0.000485,-0.003831,0.001864,0.001833,-0.001226,0.000000,-0.000522,-0.001196,-0.000099,-0.002036,0.000006,-0.000046,0.000033,0.000449,-0.000706,-0.000150,0.001217,0.000002,-0.000043,0.000013
-0.000556,-0.000396,0.925005,0.999679,0.000198,0.025331,-0.000000,0.019594,-0.044811,-0.461836,0.838825,-0.428511,-0.017664,-0.015764,0.040360,-0.439413,0.834856,-0.446693,0.013295,0.000000,0.125352,-0.001287,-0.000671,-0.380777,0.000085,-0.000359,0.000633,0.124563,0.002566,0.000612,-0.386330,-0.000084,0.000344,0.000653,0.000097,-0.000453,-0.001670,-0.001305,0.002969,-0.001453,-0.000112,-0.000437,-0.002738,0.000924,0.001913,-0.001013,0.000000,-0.000418,-0.001173,-0.000081,-0.001996,0.000004,-0.000030,0.000029,0.000518,-0.000689,-0.000134,0.001235,-0.000000,-0.000033,0.000023
-0.000581,-0.000417,0.925008,0.999679,0.000212,0.025329,0.000004,0.019593,-0.044818,-0.461857,0.838792,-0.428453,-0.017698,-0.015768,0.040353,-0.439455,0.834866,-0.446657,0.013271,0.000000,0.125345,-0.001309,-0.000673,-0.380815,0.000085,-0.000359,0.000634,0.124573,0.002554,0.000610,-0.386307,-0.000084,0.000344,0.000654,-0.000214,-0.000397,-0.000947,-0.001536,0.002678,-0.001522,-0.000374,-0.000417,-0.001983,0.000671,0.001542,-0.001130,0.000000,-0.000368,-0.000998,-0.000057,-0.001814,0.000001,-0.000015,0.000009,0.000466,-0.000569,-0.000104,0.001091,-0.000000,-0.000023,0.000011
-0.000602,-0.000430,0.925010,0.999679,0.000226,0.025327,0.000009,0.019585,-0.044827,-0.461874,0.838764,-0.428404,-0.017725,-0.015779,0.040343,-0.439492,0.834883,-0.446632,0.013249,0.000000,0.125338,-0.001327,-0.000674,-0.380850,0.000085,-0.000359,0.000634,0.124581,0.002543,0.000608,-0.386287,-0.000084,0.000343,0.000654,-0.000684,-0.000516,-0.000784,-0.001396,0.002395,-0.000859,-0.000731,-0.000518,-0.001954,0.001062,0.001194,-0.000829,0.000000,-0.000369,-0.000928,-0.000032,-0.001814,0.000001,0.000001,0.000002,0.000397,-0.000508,-0.000076,0.001054,0.000000,-0.000005,0.000005
-0.000623,-0.000442,0.925012,0.999679,0.000243,0.025324,0.000015,0.019566,-0.044839,-0.461888,0.838736,-0.428357,-0.017732,-0.015798,0.040333,-0.439533,0.834909,-0.446609,0.013238,0.000000,0.125330,-0.001346,-0.000674,-0.380888,0.000085,-0.000359,0.000634,0.124589,0.002533,0.000607,-0.386265,-0.000084,0.000343,0.000654,-0.000688,-0.000662,-0.000822,-0.001238,0.002299,-0.000733,-0.000770,-0.000633,-0.001923,0.001164,0.001130,-0.000674,0.000000,-0.000384,-0.000826,0.000011,-0.001897,-0.000000,0.000028,0.000001,0.000319,-0.000391,-0.000034,0.001056,0.000000,0.000023,-0.000004
-0.000644,-0.000457,0.925013,0.999679,0.000257,0.025321,0.000022,0.019558,-0.044853,-0.461907,0.838714,-0.428312,-0.017754,-0.015809,0.040318,-0.439569,0.834929,-0.446586,0.013222,0.000000,0.125322,-0.001360,-0.000673,-0.380926,0.000085,-0.000358,0.000634,0.124594,0.002527,0.000607,-0.386244,-0.000084,0.000344,0.000654,-0.000186,-0.000672,-0.001238,-0.000466,0.001966,-0.001200,-0.000312,-0.000684,-0.002122,0.001581,0.000927,-0.000989,0.000000,-0.000433,-0.000682,0.000057,-0.002016,-0.000003,0.000060,-0.000008,0.000268,-0.000233,0.000010,0.001075,-0.000000,0.000049,-0.000017
-0.000665,-0.000475,0.925011,0.999679,0.000268,0.025317,0.000028,0.019558,-0.044866,-0.461938,0.838717,-0.428278,-0.017780,-0.015810,0.040305,-0.439618,0.834972,-0.446572,0.013199,0.000000,0.125313,-0.001373,-0.000672,-0.380968,0.000085,-0.000357,0.000633,0.124600,0.002524,0.000607,-0.386222,-0.000084,0.000345,0.000653,0.000102,-0.000612,-0.002037,0.001271,0.000980,-0.000904,0.000016,-0.000592,-0.002628,0.002739,0.000166,-0.000742,0.000000,-0.000426,-0.000568,0.000063,-0.001919,-0.000004,0.000063,-0.000017,0.000224,-0.000148,0.000020,0.000982,0.000000,0.000049,-0.000022
-0.000681,-0.000485,0.925005,0.999680,0.000274,0.025315,0.000034,0.019562,-0.044877,-0.461988,0.838765,-0.428273,-0.017790,-0.015809,0.040294,-0.439674,0.835039,-0.446580,0.013193,0.000000,0.125305,-0.001383,-0.000671,-0.381002,0.000085,-0.000356,0.000633,0.124603,0.002521,0.000607,-0.386205,-0.000084,0.000346,0.000653,0.000309,-0.000474,-0.003705,0.003473,0.000095,-0.000612,0.000215,-0.000471,-0.004009,0.004371,-0.000441,-0.000624,0.000000,-0.000494,-0.000565,0.000040,-0.001926,-0.000004,0.000044,-0.000026,0.000019,-0.000166,-0.000005,0.000886,0.000003,0.000034,-0.000051
-0.000702,-0.000496,0.924994,0.999679,0.000278,0.025319,0.000038,0.019571,-0.044885,-0.462086,0.838856,-0.428275,-0.017805,-0.015801,0.040286,-0.439779,0.835147,-0.446590,0.013174,0.000000,0.125293,-0.001396,-0.000670,-0.381045,0.000085,-0.000355,0.000632,0.124601,0.002517,0.000607,-0.386186,-0.000084,0.000347,0.000651,0.001413,-0.000256,-0.014616,0.009833,0.000439,-0.001141,0.000717,-0.000450,-0.014711,0.010329,0.000162,-0.000898,0.000000,-0.002043,-0.000498,0.000050,-0.002932,-0.000031,0.000081,-0.000340,-0.001671,-0.000077,0.000061,0.000119,0.000027,0.000048,-0.000358
-0.000760,-0.000513,0.924959,0.999677,0.000273,0.025400,0.000042,0.019618,-0.044888,-0.462573,0.839158,-0.428255,-0.017836,-0.015780,0.040276,-0.440263,0.835452,-0.446573,0.013157,0.000000,0.125224,-0.001403,-0.000669,-0.381120,0.000084,-0.000352,0.000619,0.124536,0.002518,0.000610,-0.386200,-0.000083,0.000348,0.000638,0.003023,-0.000012,-0.029849,0.017866,0.001489,-0.001741,0.001491,-0.000440,-0.029740,0.018013,0.001377,-0.001081,0.000000,-0.003632,-0.000497,0.000004,-0.003072,-0.000033,0.000051,-0.000374,-0.003243,-0.000030,0.000073,-0.000052,0.000032,0.000050,-0.000404
-0.000840,-0.000537,0.924911,0.999674,0.000263,0.025527,0.000045,0.019692,-0.044885,-0.463280,0.839571,-0.428215,-0.017875,-0.015742,0.040269,-0.440968,0.835867,-0.446535,0.013131,0.000000,0.125148,-0.001416,-0.000670,-0.381168,0.000084,-0.000353,0.000617,0.124471,0.002516,0.000610,-0.386189,-0.000082,0.000349,0.000635,0.002921,0.000139,-0.030030,0.016738,0.002263,-0.001708,0.001391,-0.000273,-0.029957,0.016874,0.002161,-0.001099,0.000000,-0.002756,-0.000761,-0.000106,-0.001633,0.000005,-0.000054,0.000048,-0.002194,-0.000258,-0.000069,0.001064,0.000004,-0.000005,-0.000005
-0.000901,-0.000549,0.924882,0.999672,0.000258,0.025619,0.000046,0.019735,-0.044882,-0.463774,0.839828,-0.428165,-0.017904,-0.015724,0.040266,-0.441461,0.836127,-0.446487,0.013113,0.000000,0.125113,-0.001433,-0.000673,-0.381185,0.000084,-0.000355,0.000621,0.124449,0.002508,0.000607,-0.386158,-0.000082,0.000348,0.000638,0.001791,0.000033,-0.021358,0.010306,0.003033,-0.001269,0.000658,-0.000248,-0.021511,0.010796,0.002838,-0.000832,0.000000,-0.001132,-0.001063,-0.000172,-0.000460,0.000027,-0.000097,0.000301,-0.000417,-0.000520,-0.000180,0.002052,-0.000017,-0.000062,0.000276
-0.000958,-0.000561,0.924864,0.999670,0.000258,0.025686,0.000049,0.019763,-0.044884,-0.464134,0.839983,-0.428094,-0.017925,-0.015715,0.040259,-0.441829,0.836299,-0.446421,0.013097,0.000000,0.125103,-0.001458,-0.000677,-0.381187,0.000085,-0.000357,0.000629,0.124454,0.002495,0.000603,-0.386106,-0.000083,0.000346,0.000646,0.000841,-0.000165,-0.012027,0.004590,0.003316,-0.000926,0.000153,-0.000341,-0.012457,0.005583,0.002894,-0.000483,0.000000,0.000170,-0.001284,-0.000181,0.000191,0.000038,-0.000099,0.000421,0.001009,-0.000674,-0.000225,0.002803,-0.000029,-0.000083,0.000413
-0.000994,-0.000569,0.924862,0.999670,0.000258,0.025686,0.000049,0.019769,-0.044889,-0.464255,0.840012,-0.428032,-0.017941,-0.015718,0.040252,-0.441959,0.836351,-0.446371,0.013094,0.000000,0.125120,-0.001485,-0.000680,-0.381177,0.000086,-0.000359,0.000638,0.124489,0.002481,0.000598,-0.386046,-0.000084,0.000345,0.000655,-0.000300,-0.000227,-0.000960,-0.000727,0.002497,-0.000592,-0.000437,-0.000257,-0.001563,0.000536,0.001802,-0.000133,0.000000,0.001181,-0.001360,-0.000151,0.000443,0.000036,-0.000070,0.000390,0.002075,-0.000710,-0.000215,0.003120,-0.000030,-0.000080,0.000392
-0.001013,-0.000574,0.924868,0.999670,0.000274,0.025670,0.000054,0.019751,-0.044893,-0.464173,0.839954,-0.427994,-0.017949,-0.015733,0.040249,-0.441891,0.836321,-0.446349,0.013092,0.000000,0.125150,-0.001512,-0.000683,-0.381169,0.000086,-0.000360,0.000645,0.124537,0.002467,0.000594,-0.385982,-0.000084,0.000343,0.000662,-0.001256,-0.000334,0.006211,-0.003496,0.001335,-0.000046,-0.000936,-0.000185,0.005483,-0.002019,0.000565,-0.000155,0.000000,0.001129,-0.001241,-0.000101,0.000184,0.000023,-0.000030,0.000242,0.001972,-0.000613,-0.000151,0.002821,-0.000020,-0.000050,0.000257
-0.001019,-0.000571,0.924877,0.999672,0.000286,0.025619,0.000057,0.019718,-0.044902,-0.464007,0.839872,-0.427979,-0.017943,-0.015756,0.040244,-0.441740,0.836270,-0.446348,0.013087,0.000000,0.125165,-0.001534,-0.000684,-0.381170,0.000086,-0.000360,0.000648,0.124568,0.002457,0.000592,-0.385933,-0.000084,0.000342,0.000665,-0.001985,-0.000487,0.009517,-0.004128,0.000219,0.000518,-0.001429,-0.000251,0.008805,-0.002675,-0.000525,0.000201,0.000000,0.000563,-0.000981,-0.000052,-0.000216,0.000009,-0.000002,0.000092,0.001288,-0.000446,-0.000079,0.002164,-0.000009,-0.000015,0.000101
-0.001016,-0.000561,0.924886,0.999673,0.000298,0.025558,0.000060,0.019672,-0.044912,-0.463792,0.839789,-0.427985,-0.017928,-0.015790,0.040239,-0.441539,0.836214,-0.446370,0.013100,0.000000,0.125172,-0.001552,-0.000685,-0.381177,0.000086,-0.000360,0.000649,0.124589,0.002449,0.000591,-0.385895,-0.000084,0.000342,0.000666,-0.002107,-0.000601,0.012102,-0.004703,-0.000570,0.000609,-0.001411,-0.000351,0.011449,-0.003314,-0.001365,0.000557,0.000000,0.000101,-0.000785,-0.000001,-0.000622,-0.000001,0.000027,-0.000015,0.000789,-0.000285,-0.000016,0.001761,-0.000002,0.000022,-0.000006
-0.001007,-0.000560,0.924897,0.999675,0.000310,0.025484,0.000064,0.019634,-0.044926,-0.463522,0.839684,-0.428001,-0.017918,-0.015812,0.040230,-0.441282,0.836137,-0.446403,0.013110,0.000000,0.125169,-0.001566,-0.000684,-0.381195,0.000086,-0.000359,0.000647,0.124599,0.002445,0.000591,-0.385862,-0.000084,0.000343,0.000665,-0.001771,-0.000655,0.014180,-0.005941,-0.000666,0.000265,-0.000971,-0.000383,0.013642,-0.004716,-0.001352,0.000284,0.000000,-0.000497,-0.000657,0.000041,-0.001141,-0.000010,0.000053,-0.000115,0.000221,-0.000145,0.000038,0.001467,0.000004,0.000056,-0.000106
-0.000995,-0.000559,0.924912,0.999677,0.000321,0.025407,0.000069,0.019601,-0.044939,-0.463225,0.839551,-0.428012,-0.017918,-0.015829,0.040223,-0.440993,0.836025,-0.446424,0.013111,0.000000,0.125152,-0.001578,-0.000683,-0.381223,0.000086,-0.000358,0.000644,0.124598,0.002443,0.000593,-0.385836,-0.000084,0.000345,0.000662,-0.001470,-0.000666,0.013468,-0.006679,-0.000127,0.000432,-0.000774,-0.000424,0.013150,-0.005841,-0.000621,0.000197,0.000000,-0.001048,-0.000563,0.000042,-0.001532,-0.000017,0.000054,-0.000186,-0.000396,-0.000091,0.000050,0.001024,0.000010,0.000058,-0.000177
-0.000985,-0.000556,0.924927,0.999679,0.000328,0.025350,0.000074,0.019575,-0.044953,-0.462984,0.839416,-0.428007,-0.017901,-0.015843,0.040213,-0.440756,0.835904,-0.446428,0.013118,0.000000,0.125127,-0.001588,-0.000683,-0.381256,0.000086,-0.000357,0.000640,0.124584,0.002442,0.000593,-0.385821,-0.000084,0.000346,0.000658,-0.000996,-0.000557,0.010414,-0.005794,0.000229,0.000376,-0.000469,-0.000378,0.010308,-0.005385,-0.000103,0.000198,0.000000,-0.001211,-0.000445,0.000040,-0.001620,-0.000017,0.000052,-0.000188,-0.000764,-0.000052,0.000048,0.000645,0.000013,0.000050,-0.000184
-0.000977,-0.000554,0.924939,0.999680,0.000331,0.025309,0.000078,0.019561,-0.044961,-0.462808,0.839319,-0.428002,-0.017903,-0.015848,0.040208,-0.440581,0.835809,-0.446428,0.013119,0.000000,0.125104,-0.001596,-0.000682,-0.381288,0.000085,-0.000355,0.000636,0.124567,0.002441,0.000594,-0.385811,-0.000084,0.000347,0.000654,-0.000479,-0.000400,0.007951,-0.004385,0.000127,0.000056,-0.000022,-0.000255,0.008059,-0.004421,0.000037,-0.000089,0.000000,-0.001211,-0.000403,0.000038,-0.001729,-0.000016,0.000047,-0.000164,-0.000852,-0.000041,0.000034,0.000495,0.000013,0.000043,-0.000183
-0.000969,-0.000553,0.924949,0.999680,0.000331,0.025277,0.000081,0.019556,-0.044969,-0.462666,0.839241,-0.428001,-0.017899,-0.015844,0.040203,-0.440434,0.835727,-0.446426,0.013114,0.000000,0.125079,-0.001604,-0.000681,-0.381325,0.000085,-0.000355,0.000633,0.124549,0.002440,0.000595,-0.385802,-0.000084,0.000347,0.000650,-0.000079,-0.000443,0.005580,-0.003432,0.000201,0.000150,0.000186,-0.000336,0.005825,-0.003676,0.000261,0.000062,0.000000,-0.001344,-0.000521,0.000005,-0.001983,-0.000013,0.000023,-0.000152,-0.000952,-0.000150,-0.000010,0.000449,0.000014,0.000020,-0.000181
-0.000964,-0.000553,0.924956,0.999681,0.000329,0.025262,0.000085,0.019558,-0.044979,-0.462585,0.839182,-0.427994,-0.017897,-0.015840,0.040195,-0.440348,0.835662,-0.446418,0.013122,0.000000,0.125050,-0.001617,-0.000682,-0.381367,0.000085,-0.000354,0.000630,0.124529,0.002435,0.000594,-0.385793,-0.000083,0.000348,0.000647,0.000256,-0.000408,0.002375,-0.002055,0.000504,-0.000013,0.000358,-0.000367,0.002693,-0.002411,0.000582,-0.000017,0.000000,-0.001258,-0.000601,-0.000025,-0.001966,-0.000009,0.000002,-0.000106,-0.000851,-0.000253,-0.000049,0.000472,0.000012,-0.000003,-0.000127
-0.000965,-0.000554,0.924960,0.999681,0.000326,0.025260,0.000089,0.019566,-0.044985,-0.462571,0.839159,-0.427981,-0.017899,-0.015830,0.040189,-0.440326,0.835630,-0.446403,0.013113,0.000000,0.125029,-0.001628,-0.000682,-0.381404,0.000085,-0.000355,0.000629,0.124515,0.002430,0.000593,-0.385783,-0.000083,0.000347,0.000645,0.000232,-0.000339,-0.000078,-0.000431,0.000378,-0.000043,0.000269,-0.000336,0.000244,-0.000778,0.000389,-0.000162,0.000000,-0.000858,-0.000607,-0.000038,-0.001686,-0.000003,-0.000012,-0.000047,-0.000488,-0.000309,-0.000073,0.000499,0.000008,-0.000019,-0.000063
