body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_pos_21,joint_pos_22,joint_pos_23,joint_pos_24,joint_pos_25,joint_pos_26,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26
0.169950,0.015105,0.911372,0.999212,-0.005972,0.002306,-0.039173,0.012521,0.072628,-1.111949,1.623770,-0.540707,-0.002909,-0.013374,0.119351,0.021746,0.607814,-0.636707,0.024813,0.000000,0.149593,-0.025455,-0.004354,-0.315176,0.000086,-0.000259,0.000648,0.110544,-0.019168,-0.004058,-0.374085,-0.000099,0.000414,0.000756,-0.079826,0.375290,0.465199,0.340024,-0.893264,0.268945,-0.020789,0.379848,1.044558,-1.319820,0.172006,0.204594,0.000000,-0.032383,0.021696,0.003837,-0.014631,-0.000277,0.000305,0.001336,0.034948,0.019556,0.003944,0.048234,-0.000550,0.001670,0.000185
0.176472,0.018356,0.911753,0.999047,-0.007945,0.003185,-0.042797,0.011019,0.079725,-1.101822,1.629029,-0.558070,0.002474,-0.013687,0.126548,0.044535,0.577350,-0.631293,0.028880,0.000000,0.148651,-0.024955,-0.004278,-0.315547,0.000076,-0.000256,0.000664,0.111525,-0.018741,-0.003989,-0.373017,-0.000116,0.000441,0.000780,-0.059419,0.334736,0.608402,0.129014,-0.859869,0.278846,0.003833,0.339146,1.413394,-2.053001,0.503875,0.208530,0.000000,-0.061810,0.030759,0.005455,-0.024623,-0.000666,0.001139,-0.000361,0.067214,0.026197,0.005053,0.064167,-0.001183,0.002948,0.003124
0.183815,0.021906,0.913418,0.998875,-0.010457,0.004519,-0.046020,0.010144,0.086018,-1.087613,1.628930,-0.575102,0.008245,-0.013221,0.132916,0.078281,0.525694,-0.616552,0.033154,0.000000,0.147120,-0.024224,-0.004135,-0.316160,0.000059,-0.000213,0.000634,0.113232,-0.018120,-0.003856,-0.371518,-0.000147,0.000532,0.000881,-0.009442,0.235137,0.748616,-0.176135,-0.717261,0.255236,0.052753,0.238206,1.883510,-3.026525,0.988890,0.186068,0.000000,-0.080450,0.038676,0.006762,-0.029187,-0.000871,0.001940,-0.000684,0.098286,0.033368,0.006027,0.077175,-0.001675,0.003978,0.006454
0.190085,0.024748,0.916317,0.998763,-0.012995,0.005872,-0.047637,0.010642,0.089130,-1.071877,1.621983,-0.586760,0.012684,-0.011577,0.136076,0.119876,0.456289,-0.591737,0.036322,0.000000,0.145433,-0.023408,-0.004007,-0.316714,0.000041,-0.000179,0.000637,0.115456,-0.017406,-0.003748,-0.369930,-0.000183,0.000600,0.001038,0.059331,0.154446,1.014677,-0.499377,-0.612263,0.216945,0.118931,0.109290,2.573318,-4.269568,1.594912,0.158887,0.000000,-0.062085,0.051748,0.010194,-0.023533,0.000425,0.001789,0.001055,0.104993,0.048188,0.009504,0.097676,-0.000619,0.002364,0.014965
0.197457,0.027593,0.920763,0.998639,-0.016084,0.006327,-0.049214,0.012518,0.092195,-1.047026,1.608955,-0.599592,0.016923,-0.008463,0.137288,0.181214,0.354911,-0.552756,0.039510,0.000000,0.144637,-0.022154,-0.003728,-0.317102,0.000076,-0.000142,0.000676,0.117432,-0.016193,-0.003476,-0.367611,-0.000171,0.000626,0.001479,0.066553,0.273585,1.442549,-0.761822,-0.650433,0.204011,0.099529,0.025544,2.697875,-4.232506,1.551090,0.213598,0.000000,0.005195,0.057494,0.012207,-0.004876,0.002390,-0.000616,0.007952,0.022685,0.059361,0.013325,0.089874,0.001563,0.000217,0.009958
0.204730,0.030242,0.926002,0.998401,-0.018397,0.005133,-0.053205,0.013304,0.100074,-1.014175,1.591510,-0.612778,0.020844,-0.007596,0.137098,0.227791,0.286989,-0.529694,0.044866,0.000000,0.145641,-0.021108,-0.003519,-0.316909,0.000136,-0.000203,0.000955,0.116364,-0.015032,-0.003215,-0.366335,-0.000121,0.000609,0.001436,-0.012368,0.508521,1.809432,-1.125771,-0.567073,0.204840,0.009535,0.258273,1.069428,-1.183758,0.209038,0.284254,0.000000,0.020018,0.053366,0.009468,-0.007195,0.002041,-0.003461,0.010108,-0.107056,0.059605,0.013264,0.042326,0.002659,-0.000707,-0.013836
0.211724,0.033093,0.933112,0.998024,-0.019838,0.003729,-0.059500,0.012023,0.112536,-0.974649,1.563924,-0.622275,0.025116,-0.008082,0.147619,0.223991,0.307561,-0.544394,0.050880,0.000000,0.145438,-0.020020,-0.003349,-0.317390,0.000158,-0.000280,0.001081,0.113150,-0.013809,-0.002945,-0.365918,-0.000065,0.000598,0.000926,-0.084828,0.634972,1.825422,-1.495954,-0.277285,0.193977,-0.042301,0.686309,-1.485086,3.022055,-1.477022,0.312374,0.000000,-0.062229,0.062641,0.010218,-0.047255,-0.000293,-0.000464,-0.002004,-0.162216,0.066385,0.015533,0.009885,0.002182,0.001340,-0.026943
0.216725,0.035507,0.940675,0.997601,-0.020559,0.003682,-0.066006,0.009911,0.125472,-0.941158,1.531672,-0.623869,0.028603,-0.009288,0.164550,0.168387,0.407871,-0.588774,0.057361,0.000000,0.143152,-0.018603,-0.003110,-0.318800,0.000125,-0.000222,0.000875,0.109875,-0.012376,-0.002594,-0.365940,-0.000033,0.000662,0.000358,-0.094381,0.618138,1.532109,-1.605248,0.020379,0.152541,-0.073993,0.644817,-3.047229,5.339602,-2.316160,0.277395,0.000000,-0.124973,0.074675,0.013410,-0.074720,-0.001838,0.004727,-0.011596,-0.131015,0.072455,0.017787,0.007339,0.001004,0.003718,-0.021387
0.220459,0.037433,0.947854,0.997177,-0.021122,0.004349,-0.071927,0.008248,0.137262,-0.913364,1.499714,-0.621460,0.031218,-0.011042,0.173412,0.102102,0.521145,-0.637041,0.061976,0.000000,0.140439,-0.017033,-0.002812,-0.320378,0.000084,-0.000091,0.000617,0.107909,-0.010911,-0.002234,-0.365625,-0.000025,0.000747,0.000070,-0.082477,0.623803,1.428437,-1.709849,0.177354,0.128925,-0.118354,0.344931,-3.653938,6.116515,-2.551434,0.217196,0.000000,-0.135646,0.080673,0.015375,-0.081453,-0.001750,0.005982,-0.011679,-0.076588,0.072893,0.017157,0.026510,0.000191,0.002957,-0.009324
0.224141,0.039378,0.955794,0.996660,-0.021673,0.005308,-0.078556,0.006612,0.150425,-0.884021,1.463278,-0.616775,0.033760,-0.014022,0.178348,0.022230,0.652532,-0.690832,0.066049,0.000000,0.137726,-0.015376,-0.002495,-0.322058,0.000055,0.000017,0.000408,0.106812,-0.009461,-0.001908,-0.364880,-0.000026,0.000781,-0.000015,-0.110142,0.674445,1.447773,-1.905453,0.300610,0.132538,-0.239252,0.485899,-4.484259,7.044502,-2.711287,0.264286,0.000000,-0.148436,0.076969,0.012841,-0.088239,-0.001553,0.002555,-0.008811,-0.032754,0.063501,0.011774,0.042637,-0.000335,-0.001638,-0.003297
