-0.0008078437,-0.0001345682,0.9250277758,0.9996699933,-0.0002920398,0.0256866952,-0.0001139780,0.0258049108,-0.0430455394,-0.4058139026,0.8225849867,-0.4691991210,-0.0229614098,-0.0266461130,0.0308975931,-0.4924834669,0.8439850211,-0.4037148356,0.0256015975,0.0000000000,0.1240448132,-0.0022253331,-0.0006758998,-0.3866717815,0.0000871198,-0.0003488590,0.0006540028,0.1256623119,0.0017245908,0.0005987570,-0.3803912401,-0.0000814227,0.0003534718,0.0006318713
-0.0008223328,-0.0001492906,0.9250381172,0.9996701597,-0.0002813450,0.0256802705,-0.0001282222,0.0258003548,-0.0430175848,-0.4057689011,0.8224954009,-0.4691421688,-0.0229728557,-0.0266502406,0.0309269056,-0.4924648106,0.8439261913,-0.4036604762,0.0255780406,0.0000000000,0.1240724996,-0.0022213685,-0.0006735756,-0.3866375983,0.0000870658,-0.0003478946,0.0006541385,0.1256318986,0.0017368323,0.0006002300,-0.3804463148,-0.0000814789,0.0003543901,0.0006317301
-0.0008334962,-0.0001677347,0.9250465810,0.9996703385,-0.0002748537,0.0256733128,-0.0001405706,0.0258086473,-0.0429942682,-0.4057239890,0.8224197030,-0.4690995812,-0.0229865871,-0.0266417712,0.0309521854,-0.4924400747,0.8438729644,-0.4036200345,0.0255655851,0.0000000000,0.1240920499,-0.0022163766,-0.0006715665,-0.3866085112,0.0000869241,-0.0003470250,0.0006537841,0.1256073117,0.0017492736,0.0006014136,-0.3804970682,-0.0000815479,0.0003550643,0.0006313365
-0.0008442235,-0.0001847354,0.9250529587,0.9996705063,-0.0002701268,0.0256667694,-0.0001511478,0.0258218460,-0.0429715700,-0.4056937695,0.8223677874,-0.4690653384,-0.0230105165,-0.0266265832,0.0309747830,-0.4924264550,0.8438384533,-0.4035850465,0.0255344436,0.0000000000,0.1241072714,-0.0022123228,-0.0006702162,-0.3865822554,0.0000868384,-0.0003465370,0.0006531442,0.1255834699,0.0017606430,0.0006020310,-0.3805460632,-0.0000815317,0.0003553799,0.0006308252
-0.0008548453,-0.0002012561,0.9250566542,0.9996706474,-0.0002664461,0.0256612640,-0.0001589436,0.0258393288,-0.0429542325,-0.4056776464,0.8223360181,-0.4690384567,-0.0230396483,-0.0266097598,0.0309920963,-0.4924233258,0.8438203335,-0.4035585821,0.0255120452,0.0000000000,0.1241200641,-0.0022096119,-0.0006693778,-0.3865568936,0.0000867207,-0.0003463381,0.0006520438,0.1255592853,0.0017705415,0.0006021803,-0.3805939853,-0.0000815489,0.0003555092,0.0006307070
-0.0008660899,-0.0002168404,0.9250575483,0.9996707251,-0.0002631296,0.0256582225,-0.0001665720,0.0258532893,-0.0429377854,-0.4056831896,0.8223301172,-0.4690202475,-0.0230684169,-0.0265965164,0.0310081337,-0.4924390614,0.8438229561,-0.4035387337,0.0254896414,0.0000000000,0.1241300553,-0.0022087602,-0.0006691958,-0.3865319192,0.0000865906,-0.0003465102,0.0006510201,0.1255351156,0.0017784868,0.0006017082,-0.3806422651,-0.0000815499,0.0003552737,0.0006303203
-0.0008791084,-0.0002329521,0.9250543296,0.9996707307,-0.0002613586,0.0256579899,-0.0001717989,0.0258719902,-0.0429277755,-0.4057189822,0.8223599792,-0.4690164328,-0.0230785776,-0.0265794471,0.0310198832,-0.4924813509,0.8438566923,-0.4035304487,0.0254725739,0.0000000000,0.1241385341,-0.0022071849,-0.0006686294,-0.3865082860,0.0000864439,-0.0003463722,0.0006496248,0.1255118847,0.0017870546,0.0006015606,-0.3806901574,-0.0000815406,0.0003551845,0.0006301345
-0.0008918968,-0.0002571668,0.9250466704,0.9996707043,-0.0002625264,0.0256589688,-0.0001768572,0.0259104241,-0.0429154001,-0.4057781994,0.8224279284,-0.4690275788,-0.0231247395,-0.0265440382,0.0310314763,-0.4925440252,0.8439223170,-0.4035346508,0.0254403129,0.0000000000,0.1241478175,-0.0022037304,-0.0006672576,-0.3864842653,0.0000863466,-0.0003460113,0.0006490209,0.1254892200,0.0017974032,0.0006021874,-0.3807360232,-0.0000815930,0.0003555834,0.0006302000
-0.0009045145,-0.0002789914,0.9250387430,0.9996706506,-0.0002658009,0.0256610057,-0.0001801455,0.0259476528,-0.0429065041,-0.4058443606,0.8225018382,-0.4690389335,-0.0231538359,-0.0265080873,0.0310395118,-0.4926095009,0.8439880013,-0.4035368562,0.0254065990,0.0000000000,0.1241582707,-0.0022010326,-0.0006662189,-0.3864594996,0.0000863348,-0.0003459860,0.0006487973,0.1254668236,0.0018069627,0.0006025036,-0.3807803690,-0.0000816425,0.0003558306,0.0006305916
-0.0009166556,-0.0003008026,0.9250338256,0.9996706011,-0.0002684026,0.0256628767,-0.0001846138,0.0259857867,-0.0428966433,-0.4058913291,0.8225457668,-0.4690440595,-0.0231807940,-0.0264726356,0.0310494881,-0.4926582277,0.8440268636,-0.4035325050,0.0253816415,0.0000000000,0.1241710708,-0.0022011471,-0.0006660958,-0.3864325285,0.0000864037,-0.0003466229,0.0006489732,0.1254452914,0.0018136967,0.0006018764,-0.3808241487,-0.0000816558,0.0003554644,0.0006312362
