tag,step,wall_time,value,event_file
Episode_Reward/action_rate_l2,92137,1788216272.9167845,-0.004145437385886908,events.out.tfevents.1788216248.zzx23457-System-Product-Name.2740924.0
Episode_Reward/action_rate_l2,92138,1788216273.4982793,-0.003830375848338008,events.out.tfevents.1788216248.zzx23457-System-Product-Name.2740924.0
Episode_Reward/action_rate_l2,92139,1788216274.084685,-0.003739177016541362,events.out.tfevents.1788216248.zzx23457-System-Product-Name.2740924.0
Episode_Reward/action_rate_l2,92140,1788216274.6743813,-0.00408968748524785,events.out.tfevents.1788216248.zzx23457-System-Product-Name.2740924.0
Episode_Reward/action_rate_l2,92141,1788216275.2797844,-0.004056910052895546,events.out.tfevents.1788216248.zzx23457-System-Product-Name.2740924.0
Episode_Reward/action_rate_l2,92142,1788216275.8686497,-0.003917311783879995,events.out.tfevents.1788216248.zzx23457-System-Product-Name.2740924.0
Episode_Reward/action_rate_l2,92143,1788216276.4613245,-0.0037723013665527105,events.out.tfevents.1788216248.zzx23457-System-Product-Name.2740924.0
Episode_Reward/action_rate_l2,92144,1788216277.0663805,-0.004114816896617413,events.out.tfevents.1788216248.zzx23457-System-Product-Name.2740924.0
Episode_Reward/action_rate_l2,92145,1788216277.709972,-0.004346739966422319,events.out.tfevents.1788216248.zzx23457-System-Product-Name.2740924.0
Episode_Reward/action_rate_l2,92146,1788216278.3808417,-0.003811728209257126,events.out.tfevents.1788216248.zzx23457-System-Product-Name.2740924.0
Episode_Reward/action_rate_l2,92147,1788216279.0234566,-0.0038018017075955868,events.out.tfevents.1788216248.zzx23457-System-Product-Name.2740924.0
Episode_Reward/action_rate_l2,92148,1788216279.6203165,-0.00377362547442317,events.out.tfevents.1788216248.zzx23457-System-Product-Name.2740924.0
Episode_Reward/action_rate_l2,92149,1788216280.2239802,-0.0038604848086833954,events.out.tfevents.1788216248.zzx23457-System-Product-Name.2740924.0
Episode_Reward/action_rate_l2,92150,1788216280.803846,-0.00354764424264431,events.out.tfevents.1788216248.zzx23457-System-Product-Name.2740924.0
Episode_Reward/action_rate_l2,92151,1788216281.4099853,-0.00410198699682951,events.out.tfevents.1788216248.zzx23457-System-Product-Name.2740924.0
Episode_Reward/action_rate_l2,92152,1788216282.0118408,-0.0038334005512297153,events.out.tfevents.1788216248.zzx23457-System-Product-Name.2740924.0
